Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
53,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
51,incorreto,P-incorreto,VN,0,0,0.8565573770491803,0.9978298611111112,0.9218123496391339
43,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
42,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
41,correto,P-correto,VP,1,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
52,incorreto,P-correto,FN,0,1,0.8565573770491803,0.9978298611111112,0.9218123496391339
